"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RELCHEMQ",161.72,2025-08-29 00:00:00,0.77,175.19,2025-07-31 00:00:00,-6.98,159.16,2025-04-30 00:00:00,2.39,218.24,2024-10-31 00:00:00,-25.33,162.96,
"RELIANCE",1357.2,2025-08-29 00:00:00,-0.24,1390.2,2025-07-31 00:00:00,-2.61,1405,2025-04-30 00:00:00,-3.64,1332.05,2024-10-31 00:00:00,1.64,1353.9,
"RELIGARE",237.5,2025-08-29 00:00:00,1.68,269.61,2025-07-31 00:00:00,-10.43,211.78,2025-04-30 00:00:00,14.02,246.5,2024-10-31 00:00:00,-2.04,241.48,
"REMSONSIND",119.56,2025-08-29 00:00:00,2.71,125.22,2025-07-31 00:00:00,-1.93,118.11,2025-04-30 00:00:00,3.97,160.24,2024-10-31 00:00:00,-23.36,122.8,
"RENUKA",28.36,2025-08-29 00:00:00,1.52,30.03,2025-07-31 00:00:00,-4.13,28.79,2025-04-30 00:00:00,0,42.98,2024-10-31 00:00:00,-33.02,28.79,
"REPCOHOME",346.8,2025-08-29 00:00:00,0.94,408.15,2025-07-31 00:00:00,-14.23,403.4,2025-04-30 00:00:00,-13.23,470.4,2024-10-31 00:00:00,-25.58,350.05,
"REPL",161.93,2025-08-29 00:00:00,-0.62,171.85,2025-07-31 00:00:00,-6.36,174.23,2025-04-30 00:00:00,-7.64,0.001,,16091900,160.92,
"REPRO",458.35,2025-08-29 00:00:00,-4.35,544.1,2025-07-31 00:00:00,-19.43,471.75,2025-04-30 00:00:00,-7.07,518.5,2024-10-31 00:00:00,-15.45,438.4,
"RESPONIND",193.27,2025-08-29 00:00:00,-0.37,219.34,2025-07-31 00:00:00,-12.21,179.73,2025-04-30 00:00:00,7.13,268.35,2024-10-31 00:00:00,-28.25,192.55,
"RETAIL",36.1,2025-08-29 00:00:00,5.46,35.19,2025-07-31 00:00:00,8.18,34.33,2025-04-30 00:00:00,10.89,0.001,,3806900,38.07,
